/home/debian/anaconda3/envs/jaxenv/bin/python /home/debian/PycharmProjects/PythonProject/WKLC-KWC_3D_Extension_ZigZag.py 
Placed 180/180 seeds.
Saved VTK at t = 0.005000, laser=(1.5625, 0.6250) to VTK/fields_000010.vtk
Saved VTK at t = 0.010000, laser=(1.5625, 0.6250) to VTK/fields_000020.vtk
Saved VTK at t = 0.015000, laser=(1.5625, 0.6250) to VTK/fields_000030.vtk
Saved VTK at t = 0.020000, laser=(1.5625, 0.6250) to VTK/fields_000040.vtk
Saved VTK at t = 0.025000, laser=(1.5625, 0.6250) to VTK/fields_000050.vtk
Saved VTK at t = 0.030000, laser=(1.5625, 0.6250) to VTK/fields_000060.vtk
Saved VTK at t = 0.035000, laser=(1.5625, 0.6250) to VTK/fields_000070.vtk
Saved VTK at t = 0.040000, laser=(1.5625, 0.6250) to VTK/fields_000080.vtk
Saved VTK at t = 0.045000, laser=(1.5625, 0.6250) to VTK/fields_000090.vtk
Saved VTK at t = 0.050000, laser=(1.5625, 0.6250) to VTK/fields_000100.vtk
Saved VTK at t = 0.055000, laser=(1.5625, 0.6250) to VTK/fields_000110.vtk
Saved VTK at t = 0.060000, laser=(1.5625, 0.6250) to VTK/fields_000120.vtk
Saved VTK at t = 0.065000, laser=(1.5625, 0.6250) to VTK/fields_000130.vtk
Saved VTK at t = 0.070000, laser=(1.5625, 0.6250) to VTK/fields_000140.vtk
Saved VTK at t = 0.075000, laser=(1.5625, 0.6250) to VTK/fields_000150.vtk
Saved VTK at t = 0.080000, laser=(1.5625, 0.6250) to VTK/fields_000160.vtk
Saved VTK at t = 0.085000, laser=(1.5625, 0.6250) to VTK/fields_000170.vtk
Saved VTK at t = 0.090000, laser=(1.5625, 0.6250) to VTK/fields_000180.vtk
Saved VTK at t = 0.095000, laser=(1.5625, 0.6250) to VTK/fields_000190.vtk
Saved VTK at t = 0.100000, laser=(1.5625, 0.6250) to VTK/fields_000200.vtk
Saved VTK at t = 0.105000, laser=(1.5625, 0.6250) to VTK/fields_000210.vtk
Saved VTK at t = 0.110000, laser=(1.5625, 0.6250) to VTK/fields_000220.vtk
Saved VTK at t = 0.115000, laser=(1.5625, 0.6250) to VTK/fields_000230.vtk
Saved VTK at t = 0.120000, laser=(1.5625, 0.6250) to VTK/fields_000240.vtk
Saved VTK at t = 0.125000, laser=(1.5625, 0.6250) to VTK/fields_000250.vtk
Saved VTK at t = 0.130000, laser=(1.5625, 0.6250) to VTK/fields_000260.vtk
Saved VTK at t = 0.135000, laser=(1.5625, 0.6250) to VTK/fields_000270.vtk
Saved VTK at t = 0.140000, laser=(1.5625, 0.6250) to VTK/fields_000280.vtk
Saved VTK at t = 0.145000, laser=(1.5625, 0.6250) to VTK/fields_000290.vtk
Saved VTK at t = 0.150000, laser=(1.5625, 0.6250) to VTK/fields_000300.vtk
Saved VTK at t = 0.155000, laser=(1.5625, 0.6250) to VTK/fields_000310.vtk
Saved VTK at t = 0.160000, laser=(1.5625, 0.6250) to VTK/fields_000320.vtk
Saved VTK at t = 0.165000, laser=(1.5625, 0.6250) to VTK/fields_000330.vtk
Saved VTK at t = 0.170000, laser=(1.5625, 0.6250) to VTK/fields_000340.vtk
Saved VTK at t = 0.175000, laser=(1.5625, 0.6250) to VTK/fields_000350.vtk
Saved VTK at t = 0.180000, laser=(1.5625, 0.6250) to VTK/fields_000360.vtk
Saved VTK at t = 0.185000, laser=(1.5625, 0.6250) to VTK/fields_000370.vtk
Saved VTK at t = 0.190000, laser=(1.5625, 0.6250) to VTK/fields_000380.vtk
Saved VTK at t = 0.195000, laser=(1.5625, 0.6250) to VTK/fields_000390.vtk
Saved VTK at t = 0.200000, laser=(1.5625, 0.6250) to VTK/fields_000400.vtk
Saved VTK at t = 0.205000, laser=(1.5625, 0.6250) to VTK/fields_000410.vtk
